gnis_name,reachcode,UVM_ID
Jay Branch,4.30E+12,7000166
Jay Branch,4.30E+12,7000696
Jay Branch,4.30E+12,7001397
Jay Branch,4.30E+12,7001965
Jay Branch,4.30E+12,7002228
Coburn Brook,4.30E+12,7002509
Black Falls Brook,4.30E+12,7000072
Jay Branch,4.30E+12,7002659
Jay Branch,4.30E+12,7002832
Jay Branch,4.30E+12,7003023
Ruisseau Courser,4.30E+12,7004107
Rivière Brock,4.30E+12,7004151
Ruisseau Dufour,4.30E+12,7004559
Ruisseau Ruiter,4.30E+12,7004566
Ruisseau Ruiter,4.30E+12,7004567
Ruisseau Singer,4.30E+12,7004819
Rivière Brock,4.30E+12,7004834
Rivière Brock,4.30E+12,7004955
Rivière Brock,4.30E+12,7004999
Ruisseau Ruiter,4.30E+12,7005017
Rivière Missisquoi,4.30E+12,7005172
Rivière Missisquoi,4.30E+12,7005230
Mineral Spring Brook,4.30E+12,7000360
Lilly Branch,4.30E+12,7000379
Beetle Brook,4.30E+12,7001148
Tamarack Brook,4.30E+12,7000209
Missisquoi River,4.30E+12,7001459
Mineral Spring Brook,4.30E+12,7002028
Missisquoi River,4.30E+12,7000525
Mineral Spring Brook,4.30E+12,7002954
Rivière Missisquoi Nord,4.30E+12,7005117
Rivière Missisquoi,4.30E+12,7005438
Ruisseau Ruiter,4.30E+12,7003985
Rivière Missisquoi Nord,4.30E+12,7004094
Ruisseau Ruiter,4.30E+12,7004153
Rivière Missisquoi,4.30E+12,7005142
Rivière Missisquoi Nord,4.30E+12,7004278
Ruisseau de West Field,4.30E+12,7004476
Rivière Missisquoi Nord,4.30E+12,7004502
Ruisseau de West Field,4.30E+12,7004505
Ruisseau Mud,4.30E+12,7004533
Ruisseau Ruiter,4.30E+12,7004644
Rivière Missisquoi Nord,4.30E+12,7004658
Rivière Missisquoi Nord,4.30E+12,7004754
Rivière Missisquoi Nord,4.30E+12,7004794
Ruisseau Ruiter,4.30E+12,7004822
Rivière Missisquoi Nord,4.30E+12,7004872
Rivière Missisquoi Nord,4.30E+12,7005041
Rivière Missisquoi,4.30E+12,7005146
Rivière Missisquoi,4.30E+12,7005332
Rivière Missisquoi,4.30E+12,7005347
Rivière Missisquoi Nord,4.30E+12,7005620
Rivière Missisquoi,4.30E+12,7005770
Bogue Branch,4.30E+12,7000175
The Branch,4.30E+12,7001340
Tyler Branch,4.30E+12,7001792
Tyler Branch,4.30E+12,7002009
Tyler Branch,4.30E+12,7000230
Ruisseau Ives,4.30E+12,7003350
