Code,DA(sqmi),slope(m/m),PK0_2_width,PK50_width,bkf_width_HAND,CH_V_Q500,OB_V_Q500,CHSSPQ2,OBSSPQ2,Percent Cohesive,Percent Mixed,Percent Noncohesive,Average Depth To Bedrock
7000409,0.650492168,0.574511038,0.521911487,0.536293542,0.63051576,0.50839811,0.557376266,0.661324974,0.670720086,0.2,0,0.6,0.225638407
7001907,0.577783871,0.74204514,0.516483733,0.541948672,0.603215509,0.547037077,0.582877675,0.744528112,0.743480976,0.1818,0,0.8182,0.038998979
7001894,0.420269242,0.879488458,0.383699092,0.393754087,0.551791574,0.403692231,0.367667502,0.782009663,0.729525139,0.875,0,0.125,0.033901941
7002080,0.529221269,0.684759502,0.485720259,0.49488377,0.58906692,0.515625841,0.551484947,0.683711502,0.682614794,0.7273,0,0.2727,0.02752809
7002760,0.435262869,0.825066837,0.387152895,0.444625156,0.40930197,0.081421083,0.233305477,0.804758771,0.796522411,1,0,0,0.040858018
7001316,0.582135558,0.773654618,0.494144817,0.480660818,0.594567159,0.554796426,0.560287403,0.766607802,0.760022681,0.8889,0,0.1111,0.024576098
7000800,0.460256933,0.908244886,0.406438326,0.432023779,0.545876006,0.508040423,0.538113568,0.807251397,0.795517808,0.85,0,0.15,0.032482125
7000620,0.512066845,0.868745577,0.415135809,0.44151936,0.527429498,0.520680182,0.551813949,0.836838934,0.815990682,0.1875,0,0.8125,0.036455567
7002845,0.52128928,0.667537061,0.519462886,0.556242014,0.587931037,0.423383263,0.498480455,0.678821844,0.67226727,0,0,1,0.040858018
7002374,0.400057307,0.820199174,0.538441272,0.514166517,0.482888738,0.295795814,0.371411818,0.786455005,0.773056804,1,0,0,0.040858018
7001869,0.411340346,0.771824144,0.635612751,0.644989129,0.556763741,0.231383375,0.277117037,0.71215455,0.678026035,1,0,0,0.040858018
7002830,0.404438391,0.753057023,0.467452473,0.466466031,0.587387861,0.378103748,0.362455472,0.654441162,0.608395919,0.75,0,0,0.03319714
7000382,0.434999739,0.898770122,0.320579663,0.319165251,0.478030115,0.484621746,0.476662677,0.848433139,0.834190752,0.8667,0,0.1333,0.037150153
