UVM_ID,SGAT_ID,SiltOrSmal,Sand,FineGravel,CourseGrav,Cobble,Boulder,Bedrock,d50,d84,consistenc,Code,DA(sqmi),slope(m/m),daxslope,bkf_width_HAND,q2_width,q500_width,confinement,Percent Cohesive,Percent Mixed,Percent Noncohesive,Percent Null,Average Depth To Bedrock
7000409,90_R43-,0,23,33,69,100,100,100,10.51,39.23,Non-cohesive,7000409,0.6301122223202588,-0.1826405007257812,0.2466872780787073,-0.2015124185151092,0.1795711780557941,0.1823295763834224,-0.0705655645127055,0.2,0.0,0.6,0.2,0.0890143306704656
7000409,90_R44A,0,23,33,69,100,100,100,10.51,39.23,Non-cohesive,7000409,0.6301122223202588,-0.1826405007257812,0.2466872780787073,-0.2015124185151092,0.1795711780557941,0.1823295763834224,-0.0705655645127055,0.2,0.0,0.6,0.2,0.0890143306704656
7001907,90_R44C,0,19,31,84,96,98,100,9.33,16.0,Non-cohesive,7001907,0.1677340630415434,0.4952352619234326,0.6453233962325616,-0.4063315447837771,-0.1985474594753822,0.0325100743598256,0.954939295051964,0.1818,0.0,0.8182,0.0,-0.735826028811845
7001907,90_R45B,0,28,32,89,98,100,100,8.88,15.09,Non-cohesive,7001907,0.1677340630415434,0.4952352619234326,0.6453233962325616,-0.4063315447837771,-0.1985474594753822,0.0325100743598256,0.954939295051964,0.1818,0.0,0.8182,0.0,-0.735826028811845
7001316,90_R44T6.01B,0,16,27,40,89,99,100,25.8,59.1,Non-cohesive,7001316,0.1954079993486785,0.623133395113343,0.8010248915888762,-0.4712154648182793,-0.4274096479217995,-0.3467131692312177,0.4948225803688011,0.8889,0.0,0.1111,0.0,-0.7995669760310341
7001316,90_R44T6.01A,0,19,29,89,99,100,100,9.24,15.13,Non-cohesive,7001316,0.1954079993486785,0.623133395113343,0.8010248915888762,-0.4712154648182793,-0.4274096479217995,-0.3467131692312177,0.4948225803688011,0.8889,0.0,0.1111,0.0,-0.7995669760310341
7000620,90_R46-,0,24,30,70,100,100,100,10.8,38.4,Non-cohesive,7000620,-0.250184099137179,1.007890025438699,0.8990031184861949,-0.9749132810298242,-0.8880782019371052,-0.6367974599444102,1.341329046315594,0.1875,0.0,0.8125,0.0,-0.7470664649716029
7002845,90_R45C,0,23,29,82,100,100,100,9.72,21.33,Non-cohesive,7002845,-0.1915353231052573,0.1937609939581112,0.0723588469921331,-0.5210027238250292,-0.100702951003228,0.2317799694237914,1.2907776779630749,0.0,0.0,1.0,0.0,-0.727610127683026
7002089,90_R41-,0,25,50,100,100,100,100,5.6,12.67,Non-cohesive,7002089,0.8068711189561545,-0.3538376692730476,0.188027759970847,-0.0358151046974473,0.5939395251375678,0.7257242039734514,0.2260639335590899,0.3158,0.0,0.6316,0.0526,-0.5209034723596077
7002089,90_R42-,1,23,38,93,99,100,100,7.87,14.3,Non-cohesive,7002089,0.8068711189561545,-0.3538376692730476,0.188027759970847,-0.0358151046974473,0.5939395251375678,0.7257242039734514,0.2260639335590899,0.3158,0.0,0.6316,0.0526,-0.5209034723596077
7001078,90_R41-,0,25,50,100,100,100,100,5.6,12.67,Non-cohesive,7001078,0.8595653639974231,-0.4214006036626277,0.1529258718599918,0.0397439956800806,0.8669077244890971,0.8568296945403985,-0.4282975089668549,0.3846,0.0,0.5385,0.0769,-0.4135099076043309
7000440,90_R38B,0,40,72,100,100,100,100,3.13,10.06,Non-cohesive,7000440,0.9663140385677954,-0.6881186243237709,-0.0565801536402369,0.3211890021695904,0.8477134516391674,0.7705631909170085,-0.6708886929811676,0.3704,0.0,0.5926,0.037,-0.6074864304094693
7000440,90_R40-,0,18,55,100,100,100,100,5.11,12.3,Non-cohesive,7000440,0.9663140385677954,-0.6881186243237709,-0.0565801536402369,0.3211890021695904,0.8477134516391674,0.7705631909170085,-0.6708886929811676,0.3704,0.0,0.5926,0.037,-0.6074864304094693
7000890,90_R35T3.01B,0,61,87,100,100,100,100,1.65,5.18,Non-cohesive,7000890,-0.3322142834028945,1.0401685134730632,0.8759499089598259,-0.3733755231321435,-0.5480953725247087,-0.539719124188118,0.2782960387012789,0.6667,0.0,0.3333,0.0,-0.7570880586562062
7000504,90_R35T3.01A,39,39,54,99,100,100,100,4.64,12.53,Non-cohesive,7000504,0.0283073933122325,-0.1278824299977224,-0.1164736097458681,0.237157025502582,0.3686505241914711,0.4003571782968021,-0.0473129774083597,0.5,0.0,0.3333,0.1667,-0.0211329152323823
7001519,90_R35B,0,15,31,80,100,100,100,9.63,25.6,Non-cohesive,7001519,1.1270044023826238,-0.8118778414455272,-0.0759337669704794,-0.2084512134411277,1.1428925377370027,1.0195247799754552,-0.9769896398172432,0.3333,0.0,0.5833,0.0833,-0.4132841960348579
7000029,90_R35T3.1S1.01A,0,16,30,82,100,100,100,9.6,21.33,Non-cohesive,7000029,-0.5331911474377263,0.8788577618501018,0.5632491946735003,-0.6095353051631769,-0.6725598849099116,-0.6281212925828036,0.4694499572699485,0.75,0.0,0.25,0.0,-0.7405659717707791
7003017,90_R35B,0,15,31,80,100,100,100,9.63,25.6,Non-cohesive,7003017,1.0994442689592594,0.4649964679387197,1.265694167400391,-0.2427609210746068,0.36295812316927,0.4453752306672162,0.1452020675230659,0.48,0.0,0.48,0.04,-0.5777376455529214
7003017,90_R37A,0,15,26,90,100,100,100,9.5,15.03,Non-cohesive,7003017,1.0994442689592594,0.4649964679387197,1.265694167400391,-0.2427609210746068,0.36295812316927,0.4453752306672162,0.1452020675230659,0.48,0.0,0.48,0.04,-0.5777376455529214
7001021,91_M07A,24,41,46,70,96,100,100,7.33,41.85,Non-cohesive,7001021,-0.1768109770285929,0.4344438745489814,0.339199483220242,-0.2040266695471722,-0.2349894043766763,-0.0929628863664258,0.637865352474112,0.5,0.0,0.4286,0.0714,-0.435945637609952
7001021,91_M09C,0,26,45,69,100,100,100,7.77,39.23,Non-cohesive,7001021,-0.1768109770285929,0.4344438745489814,0.339199483220242,-0.2040266695471722,-0.2349894043766763,-0.0929628863664258,0.637865352474112,0.5,0.0,0.4286,0.0714,-0.435945637609952
7002622,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7002622,0.688101392824857,0.3319781616744379,0.8358011980861844,-0.4007217158906256,0.0477889210084425,0.1599561575047369,0.3986254251914311,0.5,0.0,0.5,0.0,-0.727610127683026
7000961,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7000961,0.7126573923521593,0.2643658908889524,0.7809377810557675,-0.3208643082387459,-0.0859870671875725,0.1466827059631106,0.9102692404134072,0.6667,0.0,0.3333,0.0,-0.727610127683026
7000860,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7000860,0.6474972466946239,0.3348667038455987,0.8104394273219637,-0.239426610237571,-0.0348093488101573,0.0681372853504155,0.4012980451834523,0.5,0.0,0.5,0.0,-0.727610127683026
7001106,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7001106,0.6436746168603467,0.4009880706662328,0.878236121197663,-0.3174177424249395,-0.2168842162932994,-0.1082639789033776,0.5045760235099719,0.8333,0.0,0.1667,0.0,-0.727610127683026
7000099,91_M05A,28,67,74,99,99,100,100,1.16,9.76,Non-cohesive,7000099,0.2684449675447047,-0.1901446129081883,-0.0146343739501184,-0.4366075109589286,-0.0669579437965432,0.1968365049123884,1.018282922139879,0.6,0.0,0.4,0.0,-0.727610127683026
7000807,91_M04D,23,60,94,100,100,100,100,1.48,4.54,Non-cohesive,7000807,0.5443090811898477,-0.4046599499708594,-0.0500472041664098,-0.4836287252477027,0.124098196233786,0.1669155162066908,0.1044775688015604,0.8333,0.0,0.1667,0.0,-0.727610127683026
7002607,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7002607,-1.1517041527773753,0.4711738454962119,-0.3044995518442158,-0.1920953332984017,-1.0579773831411208,-1.4146390773657775,-0.8593534914340472,0.0,0.0,1.0,0.0,-0.727610127683026
7000813,91_M04D,23,60,94,100,100,100,100,1.48,4.54,Non-cohesive,7000813,0.58129527975067,-0.142545023794609,0.255229293460428,-0.1980595045130004,0.1123243067771432,0.2503682222463291,0.4664803711497181,0.0,0.0,1.0,0.0,-0.727610127683026
7002027,91_M04D,23,60,94,100,100,100,100,1.48,4.54,Non-cohesive,7002027,0.6061702685537262,0.0136288065725867,0.4391074233033317,-0.3068438536746727,-0.2194980973805546,-0.0303650152791354,0.8073376009760765,0.8333,0.0,0.1667,0.0,-0.727610127683026
7000176,91_M4S4.06B,85,100,100,100,100,100,100,0.06,0.06,Non-cohesive,7000176,-0.1823802797441436,0.5001844022260385,0.4053668403713893,-0.4926672196928149,-0.4343178754579382,-0.3656362060171841,0.4529298577081996,0.92,0.0,0.08,0.0,-0.7312215127945949
7002217,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7002217,0.7245900252850267,-0.0785431725405759,0.4238127491979239,-0.3041802045167709,0.1237591526501553,0.4257695806676326,1.0755126154882777,0.5,0.0,0.5,0.0,-0.727610127683026
7000148,91_M02-,0,26,30,64,95,100,100,11.72,46.97,Non-cohesive,7000148,0.7228989586674799,0.1215460726634225,0.635889548748272,-0.3215425118500106,-0.0132460280486627,0.13533928972564,0.5625364451673577,0.75,0.0,0.25,0.0,-0.727610127683026
7002776,91_M04D,23,60,94,100,100,100,100,1.48,4.54,Non-cohesive,7002776,0.58129527975067,-0.2585575159963568,0.131579607557891,-0.3298907500103359,0.2632523326731196,0.292409199391311,-0.0093813948507922,0.6667,0.0,0.3333,0.0,-0.727610127683026
7000525,90_R33-,12,54,75,99,100,100,100,1.82,9.5,Non-cohesive,7000525,1.370680044439544,0.0565605441653352,1.0203529666041176,0.1287069932789093,0.5998478209932426,0.589864558895934,-0.3076303723887447,0.4634,0.0,0.4878,0.0488,-0.5534059383637268
7000228,90_R28-,0,9,28,85,100,100,100,9.61,15.82,Non-cohesive,7000228,1.5228762238733646,-0.4505704942214866,0.5864402594652124,0.1563196250415577,0.7053162479916735,0.5509107924185677,-0.896119405934952,0.5,0.0,0.4286,0.0714,-0.435945637609952
7001466,90_R25A,18,68,88,100,100,100,100,1.3,4.88,Non-cohesive,7001466,1.5372223843496209,-0.5838715845753375,0.4544123719694937,0.0519564999763441,1.6216109864504478,1.4870240443580087,-1.2346799746794326,0.0,0.0,0.75,0.25,0.3321056909929394
